Date,Items,Type,Total,Wallet,
,,,,Change,Balance
"28 Aug, 2024",Risk of Rain 2,Purchase,$4.12 USD,,
,,Visa **08,,,
"16 Jul, 2024",Chained Together,Purchase,$2.99 USD,,
,,Visa **08,,,
"8 Jul, 2024",Castle Crashers,Purchase,$0.79 USD,,
,,Visa **08,,,
"1 Jul, 2024",PlateUp!,Purchase,$3.56 USD,,
,,Visa **08,,,
"16 Jun, 2024",Supermarket Simulator,Refund,$3.99 USD,,
,Refund,Visa **08,,,
"15 Jun, 2024",Supermarket Simulator,Purchase,$3.99 USD,,
,,Visa **08,,,
"11 Apr, 2024",Content Warning,Purchase,$4.49 USD,,
,,Visa **08,,,
"19 Jan, 2024",Lethal Company,Purchase,$5.79 USD,-$0.56 USD,$0.00 USD
,,$0.56 USD Wallet,,,
,,$5.23 USD Visa,,,
"21 Nov, 2023",Currency Conversion to USD (Turkey),Conversion,,,$0.56 USD
,,Wallet,,,
"28 Sep, 2023",Steam Community Market,Market Transaction,"16,17 TL","+16,17 TL","16,17 TL"
,,Wallet,Credit,,
"2 Sep, 2023",The Wandering Village,Purchase,"30,00 TL",,
,,"0,90 TL Wallet",,,
,,"29,10 TL Visa",,,
"25 Aug, 2023",ROUNDS,Purchase,"5,75 TL","-5,75 TL","0,90 TL"
,,Wallet,,,
"25 Aug, 2023",Steam Community Market,Market Transaction,"1,31 TL","+1,31 TL","6,65 TL"
,,Wallet,Credit,,
"24 Aug, 2023",Destiny 2,In-Game Purchase,"99,99 TL","-99,99 TL","5,34 TL"
,2300 Destiny 2 Silver,Wallet,,,
"28 Jul, 2023",Valheim,Refund,"100,00 TL","+100,00 TL","105,33 TL"
,Refund,Wallet Credit,,,
"27 Jul, 2023",Valheim,Purchase,"100,00 TL","-100,00 TL","5,33 TL"
,,Wallet,,,
"19 Jul, 2023",Don't Starve Together,Refund,"8,16 TL","+8,16 TL","105,33 TL"
,Picture,Wallet Credit,,,
,Gift sent to Caaker_14,,,,
,Refund,,,,
"25 Jun, 2023",Steam Community Market,2 Market Transactions,"8,77 TL","+8,77 TL","97,17 TL"
,,Wallet,Credit,,
"22 Jun, 2023",Steam Community Market,2 Market Transactions,"53,17 TL","+53,17 TL","88,40 TL"
,,Wallet,Credit,,
"18 Jun, 2023",Don't Starve Together,Gift Purchase,"8,16 TL","-8,16 TL","35,23 TL"
,Picture,Wallet,,,
,Gift sent to Caaker_14,,,,
"13 Jun, 2023",Steam Community Market,Market Transaction,"37,40 TL","+37,40 TL","43,39 TL"
,,Wallet,Credit,,
"25 May, 2023",Destiny 2,In-Game Purchase,"74,99 TL","-74,99 TL","5,99 TL"
,1700 Destiny 2 Silver,Wallet,,,
"20 May, 2023",A Way Out,Purchase,"39,80 TL","-39,80 TL","80,98 TL"
,,Wallet,,,
"31 Mar, 2023",Destiny 2,In-Game Purchase,"149,99 TL","-149,99 TL","120,78 TL"
,3500 Destiny 2 Silver,Wallet,,,
"29 Mar, 2023",Counter-Strike 2,In-Game Purchase,"45,50 TL","-45,50 TL","270,77 TL"
,Prisma 2 Case Key,Wallet,,,
"29 Mar, 2023",Steam Community Market,2 Market Transactions,"12,95 TL","-12,95 TL","316,27 TL"
,,Wallet,,,
"29 Mar, 2023",Steam Community Market,Market Transaction,"47,57 TL","+47,57 TL","329,22 TL"
,,Wallet,Credit,,
"27 Feb, 2023",Destiny 2: Bungie 30th Anniversary Pack,Purchase,"38,00 TL","-38,00 TL","281,65 TL"
,,Wallet,,,
"27 Feb, 2023",Destiny 2: Shadowkeep Pack,Purchase,"31,35 TL","-31,35 TL","319,65 TL"
,,Wallet,,,
"26 Feb, 2023",Destiny 2: Lightfall,Purchase,"449,00 TL","-449,00 TL","351,00 TL"
,,Wallet,,,
"26 Feb, 2023","Purchased 800,00 TL Wallet Credit",Purchase,"800,00 TL","+800,00 TL","800,00 TL"
,,MasterCard **14,,,
"24 Jan, 2023",Pummel Party,Purchase,"25,00 TL",,
,,Visa **47,,,
"18 Jan, 2023",Destiny 2,In-Game Purchase,"49,99 TL","-49,99 TL","0,00 TL"
,1100 Destiny 2 Silver,Wallet,,,
"18 Jan, 2023","Purchased 49,99 TL Wallet Credit",Purchase,"49,99 TL","+49,99 TL","49,99 TL"
,,Visa **47,,,
"9 Aug, 2022",Project Winter,Purchase,"38,67 TL",,
,Project Winter - Blackout,Visa **17,,,
"31 Jul, 2022",Hades,Purchase,"24,00 TL",,
,,Visa **17,,,
"17 Jul, 2022",Europa Universalis IV - Expansion Subscription: 3 Months (Initial),In-Game Purchase,"29,40 TL",,
,Europa Universalis IV,Visa **17,,,
,Europa Universalis IV Expansion Subscription: 3 Months,,,,
"1 Jul, 2022",Feign,Purchase,"11,70 TL",,
,,Visa **17,,,
"26 Jun, 2022",Destiny 2: The Witch Queen,Purchase,"143,90 TL","-3,20 TL","0,00 TL"
,Destiny 2: Beyond Light Pack,"3,20 TL Wallet",,,
,,"140,70 TL Visa",,,
"21 Jun, 2022",Deep Rock Galactic,Purchase,"16,50 TL",,
,,Visa **17,,,
"18 May, 2021",Brawlhalla,In-Game Purchase,"10,80 TL","-10,80 TL","3,20 TL"
,140 Mammoth Coins,Wallet,,,
"18 May, 2021",Brawlhalla,In-Game Purchase,"36,00 TL","-36,00 TL","14,00 TL"
,540 Mammoth Coins,Wallet,,,
"18 May, 2021","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","50,00 TL"
,,Visa **17,,,
"3 Jan, 2021",Europa Universalis IV: Golden Century,Purchase,"53,75 TL","-7,70 TL","0,00 TL"
,Europa Universalis IV: Conquest of Paradise,"7,70 TL Wallet",,,
,Europa Universalis IV: Mare Nostrum,"46,05 TL Visa",,,
,Europa Universalis IV: Res Publica,,,,
,Europa Universalis IV: The Cossacks,,,,
"27 Dec, 2020",Europa Universalis IV: Wealth of Nations,Purchase,"25,00 TL","-25,00 TL","7,70 TL"
,Europa Universalis IV: Emperor,Wallet,,,
"23 Dec, 2020",Europa Universalis IV: Art of War,Purchase,"38,70 TL","-38,70 TL","32,70 TL"
,Europa Universalis IV: Common Sense,Wallet,,,
,Europa Universalis IV: Rights of Man,,,,
"1 Dec, 2020",Total War: WARHAMMER II,Refund,"71,40 TL","+71,40 TL","71,40 TL"
,Refund,"69,43 TL Wallet",,,
,,"1,97 TL Visa",,,
"30 Nov, 2020",Total War: WARHAMMER II,Purchase,"71,40 TL","-69,43 TL","0,00 TL"
,,"69,43 TL Wallet",,,
,,"1,97 TL Visa",,,
