Name,Proportion,Current Price,Play Time,rating
Tom Clancy's Ghost Recon® Wildlands,1.69,$39.99 ,23.6h,78.76%
A Way Out,-,$29.99 ,-,86.04%
Europa Universalis IV,0.11,$29.99 ,265.7h,86.10%
Grand Theft Auto V,0.37,$29.98 ,80.7h,86.58%
For Honor,1.2,$23.99 ,20.0h,68.90%
Esports Life Tycoon,1.39,$19.99 ,14.4h,59.70%
Tom Clancy's Rainbow Six Siege,0.06,$15.99 ,262.4h,84.01%
Deep Rock Galactic,1.1,$14.99 ,13.6h,96.15%
Dead by Daylight,0.27,$14.99 ,55.8h,79.86%
Subnautica,2.37,$14.99 ,6.3h,95.87%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,0.72,$12.99 ,18.1h,89.56%
The Wandering Village,0.71,$12.49 ,17.5h,87.68%
Risk of Rain 2,0.67,$12.49 ,18.6h,92.33%
The Forest,0.46,$10.49 ,22.6h,94.66%
This War of Mine,2.09,$10.47 ,5.0h,91.59%
Goat Simulator,9.99,$9.99 ,16m,89.30%
PAYDAY 2,0.08,$9.99 ,119.1h,88.85%
Slime Rancher,1.47,$8.99 ,6.1h,96.54%
Hearts of Iron IV,6.13,$8.99 ,1.5h,90.04%
Hades,1.81,$8.25 ,4.6h,97.18%
Pummel Party,0.62,$7.99 ,12.9h,87.31%
Plague Inc: Evolved,4.17,$7.99 ,1.9h,92.80%
SpeedRunners,7.99,$7.99 ,2m,92.07%
Castle Crashers,1.78,$7.99 ,4.5h,94.78%
Duck Game,6.43,$7.29 ,1.1h,94.65%
Don't Starve Together,0.62,$6.59 ,10.6h,94.72%
Lethal Company,0.46,$5.79 ,12.5h,96.33%
60 Seconds! Reatomized,0.55,$5.79 ,10.5h,91.72%
Project Winter,5.79,$5.79 ,26m,81.07%
60 Parsecs!,5.79,$5.79 ,6m,84.83%
Left 4 Dead 2,0.92,$5.79 ,6.3h,96.74%
ASTRONEER,0.38,$4.94 ,13.1h,90.87%
Content Warning,1.59,$4.49 ,2.8h,93.08%
PlateUp!,0.3,$3.56 ,11.8h,92.96%
Chained Together,1.56,$2.99 ,1.9h,87.22%
ROUNDS,0.25,$2.99 ,11.9h,93.17%
Geometry Dash,0.35,$2.99 ,8.6h,92.54%
Stick Fight: The Game,1.31,$2.69 ,2.1h,92.31%
Among Us,0.11,$2.49 ,22.8h,91.08%
Feign,0.07,$1.49 ,22.3h,87.27%
Unforgiving Trials: The Space Crusade,-,$0.99 ,-,60.82%
Overwatch® 2,-,Free,-,21.92%
Trackmania,-,Free,-,74.27%
Once Human,-,Free,-,71.31%
The First Descendant,-,Free,-,54.96%
Dark and Darker,-,Free,5.7h,70.09%
Goose Goose Duck,-,Free,-,85.67%
NARAKA: BLADEPOINT,-,Free,-,69.62%
Apex Legends,-,Free,-,67.37%
RISK: Global Domination,-,Free,13.0h,79.10%
Fall Guys,-,No Price,17.6h,80.67%
Destiny 2,-,Free,946.0h,79.50%
NBA 2K19,-,No Price,149.0h,39.58%
Albion Online,-,Free,1.6h,78.08%
Aimlabs,-,Free,-,91.69%
PUBG: BATTLEGROUNDS,-,Free,250.5h,58.80%
NBA 2K18,-,No Price,187.0h,30.18%
Catan Universe,-,Free,25m,48.68%
Business Tour - Online Multiplayer Board Game,-,Free,25.2h,60.34%
Knight Online,-,Free,28m,50.16%
Unturned,-,Free,22.0h,90.70%
Trove,-,Free,-,79.36%
Brawlhalla,-,Free,354.4h,81.27%
Warface: Clutch,-,Free,-,65.92%
Rocket League,-,No Price,-,86.89%
Ace of Spades,-,No Price,6.0h,64.42%
Counter-Strike 2,-,Free,666.6h,86.63%
Dota 2,-,Free,9.4h,81.19%
Team Fortress 2,-,Free,44m,88.02%
For Honor - Public Test,-,Not in Store,-,-
Tom Clancy's Rainbow Six Siege - Test Server,-,Not in Store,-,-
